"pais_origen","provincia_id","nombre_provincia","sexo","edad_quinquenal","amba","Cantidad"
"Alemania",6,"Buenos Aires","F","0 a 4","AMBA",12
"Alemania",6,"Buenos Aires","F","10 a 14","AMBA",37
"Alemania",6,"Buenos Aires","F","15 a 19","AMBA",48
"Alemania",6,"Buenos Aires","F","20 a 24","AMBA",45
"Alemania",6,"Buenos Aires","F","25 a 29","AMBA",44
"Alemania",6,"Buenos Aires","F","30 a 34","AMBA",79
"Alemania",6,"Buenos Aires","F","35 a 39","AMBA",74
"Alemania",6,"Buenos Aires","F","40 a 44","AMBA",78
"Alemania",6,"Buenos Aires","F","45 a 49","AMBA",60
"Alemania",6,"Buenos Aires","F","5 a 9","AMBA",20
"Alemania",6,"Buenos Aires","F","50 a 54","AMBA",58
"Alemania",6,"Buenos Aires","F","55 a 59","AMBA",63
"Alemania",6,"Buenos Aires","F","60 a 64","AMBA",49
"Alemania",6,"Buenos Aires","F","65 a 69","AMBA",31
"Alemania",6,"Buenos Aires","F","70 a 74","AMBA",45
"Alemania",6,"Buenos Aires","F","75 a 79","AMBA",167
"Alemania",6,"Buenos Aires","F","80 a 84","AMBA",125
"Alemania",6,"Buenos Aires","F","85 y más","AMBA",155
"Alemania",6,"Buenos Aires","M","0 a 4","AMBA",9
"Alemania",6,"Buenos Aires","M","10 a 14","AMBA",34
"Alemania",6,"Buenos Aires","M","15 a 19","AMBA",67
"Alemania",6,"Buenos Aires","M","20 a 24","AMBA",47
"Alemania",6,"Buenos Aires","M","25 a 29","AMBA",45
"Alemania",6,"Buenos Aires","M","30 a 34","AMBA",70
"Alemania",6,"Buenos Aires","M","35 a 39","AMBA",57
"Alemania",6,"Buenos Aires","M","40 a 44","AMBA",80
"Alemania",6,"Buenos Aires","M","45 a 49","AMBA",71
"Alemania",6,"Buenos Aires","M","5 a 9","AMBA",27
"Alemania",6,"Buenos Aires","M","50 a 54","AMBA",84
"Alemania",6,"Buenos Aires","M","55 a 59","AMBA",85
"Alemania",6,"Buenos Aires","M","60 a 64","AMBA",51
"Alemania",6,"Buenos Aires","M","65 a 69","AMBA",48
"Alemania",6,"Buenos Aires","M","70 a 74","AMBA",40
"Alemania",6,"Buenos Aires","M","75 a 79","AMBA",131
"Alemania",6,"Buenos Aires","M","80 a 84","AMBA",102
"Alemania",6,"Buenos Aires","M","85 y más","AMBA",91
"Alemania",6,"Buenos Aires","F","0 a 4","Resto del pais",8
"Alemania",6,"Buenos Aires","F","10 a 14","Resto del pais",9
"Alemania",6,"Buenos Aires","F","15 a 19","Resto del pais",9
"Alemania",6,"Buenos Aires","F","20 a 24","Resto del pais",2
"Alemania",6,"Buenos Aires","F","25 a 29","Resto del pais",12
"Alemania",6,"Buenos Aires","F","30 a 34","Resto del pais",13
"Alemania",6,"Buenos Aires","F","35 a 39","Resto del pais",14
"Alemania",6,"Buenos Aires","F","40 a 44","Resto del pais",25
"Alemania",6,"Buenos Aires","F","45 a 49","Resto del pais",11
"Alemania",6,"Buenos Aires","F","5 a 9","Resto del pais",3
"Alemania",6,"Buenos Aires","F","50 a 54","Resto del pais",13
